,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol,Significance
205532_s_at,-6.680721154,107.257931,-0.258145487,0.798177838,0.947464136,-4.606927586,CDH6,Not Significant
203792_x_at,13.59822115,259.3486207,0.258084067,0.798224765,0.947469367,-4.606927995,PCGF2,Not Significant
211178_s_at,9.609423077,240.6748276,0.258005373,0.79828489,0.947490264,-4.606928519,PSTPIP1,Not Significant
202700_s_at,-9.769086538,326.5586207,-0.257889997,0.798373044,0.947544423,-4.606929286,TMEM63A,Not Significant
206175_x_at,-1.841682692,34.2062069,-0.257738114,0.798489096,0.947631686,-4.606930296,ZNF222,Not Significant
208913_at,-10.07985577,362.697931,-0.257479133,0.798686992,0.947782925,-4.606932017,GGA2,Not Significant
209756_s_at,-2.855480769,32.3837931,-0.257435701,0.79872018,0.947782925,-4.606932305,MYCN,Not Significant
215264_at,-3.832980769,37.87448276,-0.257376485,0.798765432,0.947782925,-4.606932698,EMX1,Not Significant
202033_s_at,13.09668269,493.3634483,0.257348694,0.798786669,0.947782925,-4.606932883,RB1CC1,Not Significant
221217_s_at,-8.969711538,242.7796552,-0.257138269,0.798947477,0.947914326,-4.606934279,RBFOX1,Not Significant
219419_at,-11.39485577,178.9824138,-0.257092451,0.798982492,0.947914326,-4.606934583,RBFA,Not Significant
200774_at,133.6961058,4794.384138,0.256840675,0.799174914,0.948084645,-4.606936251,FAM120A,Not Significant
208573_s_at,-13.22461538,330.4482759,-0.25674512,0.799247947,0.948084645,-4.606936884,OR2H2,Not Significant
207290_at,-8.938365385,163.9931034,-0.256737601,0.799253694,0.948084645,-4.606936934,PLXNA2,Not Significant
220748_s_at,15.46254808,222.3241379,0.256612815,0.79934907,0.948147308,-4.60693776,ZNF580,Not Significant
208678_at,-40.32033654,1371.332759,-0.256339899,0.799557676,0.948293903,-4.606939565,ATP6V1E1,Not Significant
208535_x_at,-3.595144231,85.47724138,-0.256217974,0.799650876,0.948293903,-4.606940371,COL13A1,Not Significant
218174_s_at,-8.951634615,240.9565517,-0.256144702,0.799706886,0.948293903,-4.606940855,TMEM254,Not Significant
217882_at,-23.75206731,1252.323103,-0.256065103,0.799767734,0.948293903,-4.606941381,EMC3,Not Significant
206691_s_at,-9.901105769,186.7865517,-0.256028909,0.799795403,0.948293903,-4.60694162,PDIA2,Not Significant
221390_s_at,10.63528846,138.9862069,0.256002512,0.799815582,0.948293903,-4.606941794,MTMR7,Not Significant
205199_at,11.76706731,313.3244828,0.25596256,0.799846123,0.948293903,-4.606942058,CA9,Not Significant
210090_at,-5.894519231,75.09862069,-0.255946037,0.799858755,0.948293903,-4.606942167,ARC,Not Significant
213321_at,9.181923077,92.72896552,0.255725098,0.80002766,0.948293903,-4.606943625,BCKDHB,Not Significant
207718_x_at,9.744951923,339.9234483,0.255656451,0.800080142,0.948293903,-4.606944078,CYP2A7,Not Significant
211742_s_at,-13.745,338.1065517,-0.255613708,0.80011282,0.948293903,-4.60694436,EVI2B,Not Significant
218749_s_at,17.03706731,440.182069,0.255610908,0.800114961,0.948293903,-4.606944378,SLC8B1,Not Significant
203341_at,-11.15620192,463.237931,-0.255476937,0.800217388,0.948293903,-4.606945261,CEBPZ,Not Significant
207837_at,5.038605769,41.96068966,0.255467397,0.800224682,0.948293903,-4.606945324,RBPMS,Not Significant
205585_at,7.635817308,204.3251724,0.255431497,0.80025213,0.948293903,-4.606945561,ETV6,Not Significant
220214_at,1.693701923,31.63137931,0.255221974,0.800412329,0.948380941,-4.60694694,ZNF215,Not Significant
221063_x_at,-15.416875,602.5141379,-0.25514188,0.800473571,0.948380941,-4.606947468,RNF123,Not Significant
208295_x_at,3.173846154,36.93724138,0.255077987,0.800522426,0.948380941,-4.606947888,CSHL1,Not Significant
208688_x_at,35.15552885,1571.45,0.255074707,0.800524934,0.948380941,-4.60694791,EIF3B,Not Significant
214980_at,-10.53014423,189.1310345,-0.254968482,0.800606159,0.948420049,-4.606948608,UBE3A,Not Significant
204605_at,10.56884615,428.9372414,0.254920211,0.800643071,0.948420049,-4.606948926,CGRRF1,Not Significant
209814_at,-15.37557692,452.67,-0.254694719,0.800815504,0.948466815,-4.606950408,ZNF330,Not Significant
220902_at,-9.759086538,109.1841379,-0.254609465,0.8008807,0.948466815,-4.606950968,CHST15,Not Significant
203319_s_at,8.068269231,402.3206897,0.254560551,0.800918106,0.948466815,-4.606951289,ZNF148,Not Significant
201077_s_at,41.81043269,2548.075517,0.254497673,0.800966192,0.948466815,-4.606951702,SNU13,Not Significant
204338_s_at,1.451538462,15.77931034,0.254495146,0.800968125,0.948466815,-4.606951718,RGS4,Not Significant
203488_at,11.04081731,271.3137931,0.25441669,0.801028125,0.948466815,-4.606952233,ADGRL1,Not Significant
205713_s_at,-3.348221154,34.66655172,-0.254378851,0.801057065,0.948466815,-4.606952482,COMP,Not Significant
211650_x_at,60.61514423,1160.972069,0.25434931,0.801079657,0.948466815,-4.606952675,IGK,Not Significant
213880_at,-6.337980769,115.3824138,-0.254285868,0.801128177,0.948466815,-4.606953091,LGR5,Not Significant
211627_x_at,7.480769231,85.06655172,0.25425634,0.80115076,0.948466815,-4.606953285,ESR1,Not Significant
210690_at,3.184567308,36.14931034,0.254004938,0.80134304,0.948644051,-4.606954933,KLRC4,Not Significant
211322_s_at,-3.050913462,64.36827586,-0.253881766,0.801437251,0.948665284,-4.60695574,SARDH,Not Significant
212617_at,-10.58389423,210.8313793,-0.253816081,0.801487493,0.948665284,-4.60695617,ZNF609,Not Significant
202507_s_at,13.83004808,349.7634483,0.253769555,0.80152308,0.948665284,-4.606956475,SNAP25,Not Significant
204347_at,8.903653846,275.2662069,0.253752674,0.801535993,0.948665284,-4.606956585,AK4,Not Significant
213248_at,-7.575865385,156.9148276,-0.253701731,0.80157496,0.948665284,-4.606956918,LOC730101,Not Significant
204402_at,-8.311730769,299.1934483,-0.253613953,0.801642104,0.948665284,-4.606957493,RHBDD3,Not Significant
216857_at,-3.396778846,46.20206897,-0.253591877,0.801658991,0.948665284,-4.606957637,TRBV21-1,Not Significant
44040_at,-6.043653846,189.8217241,-0.253475707,0.801747855,0.948672971,-4.606958397,FBXO41,Not Significant
39835_at,14.26048077,320.7386207,0.253461459,0.801758754,0.948672971,-4.60695849,SBF1,Not Significant
215618_at,-4.804711538,95.38758621,-0.253416419,0.801793209,0.948672971,-4.606958785,RSU1,Not Significant
203115_at,5.741394231,59.27689655,0.253352338,0.80184223,0.948674818,-4.606959203,FECH,Not Significant
48531_at,-14.60735577,558.67,-0.253227987,0.801937358,0.948674818,-4.606960016,TNIP2,Not Significant
207844_at,10.74394231,195.83,0.253217042,0.801945731,0.948674818,-4.606960087,IL13,Not Significant
214468_at,-1.7875,19.4637931,-0.253157877,0.801990994,0.948674818,-4.606960474,MYH6,Not Significant
205355_at,-5.909567308,112.1772414,-0.253125795,0.802015537,0.948674818,-4.606960683,ACADSB,Not Significant
218401_s_at,9.390913462,206.0896552,0.253038627,0.802082225,0.948674818,-4.606961252,ZNF281,Not Significant
219684_at,9.751346154,183.4462069,0.252951353,0.802148995,0.948674818,-4.606961822,RTP4,Not Significant
212960_at,6.960769231,309.0596552,0.252933076,0.802162978,0.948674818,-4.606961941,TBC1D9,Not Significant
213980_s_at,21.04153846,647.1675862,0.252826505,0.802244513,0.948674818,-4.606962636,CTBP1,Not Significant
204000_at,-9.330673077,303.4289655,-0.252793501,0.802269765,0.948674818,-4.606962851,GNB5,Not Significant
213268_at,-4.531009615,40.21551724,-0.252791952,0.80227095,0.948674818,-4.606962861,CAMTA1,Not Significant
219905_at,-4.430625,43.60551724,-0.252578797,0.80243404,0.948674818,-4.606964251,ERMAP,Not Significant
203827_at,13.2025,401.8441379,0.252546006,0.80245913,0.948674818,-4.606964464,WIPI1,Not Significant
205486_at,-17.25269231,587.7189655,-0.252534915,0.802467616,0.948674818,-4.606964537,TESK2,Not Significant
206379_at,5.414326923,75.23413793,0.252494185,0.802498781,0.948674818,-4.606964802,EYA3,Not Significant
204526_s_at,12.54399038,537.0862069,0.25248049,0.802509259,0.948674818,-4.606964891,TBC1D8,Not Significant
216599_x_at,-1.923125,34.37896552,-0.252459448,0.80252536,0.948674818,-4.606965028,SLC22A6,Not Significant
220331_at,-4.858605769,74.13862069,-0.252360314,0.802601215,0.948674818,-4.606965674,CYP46A1,Not Significant
221439_at,-6.474375,96.49793103,-0.252261806,0.802676593,0.948674818,-4.606966315,RBBP9,Not Significant
205650_s_at,-14.09932692,246.2841379,-0.25224949,0.802686018,0.948674818,-4.606966395,FGA,Not Significant
221564_at,14.05192308,456.7658621,0.252245825,0.802688822,0.948674818,-4.606966419,PRMT2,Not Significant
201490_s_at,-25.58009615,1036.56069,-0.252142855,0.802767617,0.948717624,-4.606967089,PPIF,Not Significant
215244_at,-13.03288462,264.6748276,-0.251940746,0.80292228,0.948850083,-4.606968403,DGCR5,Not Significant
211191_at,1.314471154,16.45137931,0.251827824,0.803008698,0.948874269,-4.606969136,CD84,Not Significant
217607_x_at,-6.741826923,119.2634483,-0.251802717,0.803027912,0.948874269,-4.6069693,EIF4G2,Not Significant
210630_s_at,-3.009182692,31.88206897,-0.251581216,0.803197431,0.949024251,-4.606970738,RAD52,Not Significant
211269_s_at,-15.19942308,290.1810345,-0.251464078,0.803287083,0.949051154,-4.606971498,IL2RA,Not Significant
204403_x_at,-20.85288462,508.0703448,-0.25144017,0.803305382,0.949051154,-4.606971653,TCAF1,Not Significant
206866_at,-2.342980769,31.78655172,-0.251248105,0.803452386,0.949083937,-4.606972898,CDH4,Not Significant
219544_at,-9.490336538,329.7324138,-0.251194513,0.803493407,0.949083937,-4.606973245,BORA,Not Significant
204565_at,-32.37177885,1192.155862,-0.251171278,0.803511191,0.949083937,-4.606973396,ACOT13,Not Significant
220853_at,9.097211538,305.7206897,0.251149905,0.80352755,0.949083937,-4.606973534,QTMAN,Not Significant
213314_at,-7.022644231,203.4662069,-0.251117286,0.803552518,0.949083937,-4.606973746,SMIM8,Not Significant
214554_at,4.456923077,74.91206897,0.251070038,0.803588683,0.949083937,-4.606974052,H2AC16,Not Significant
202464_s_at,43.47975962,773.7234483,0.250869111,0.803742486,0.949096769,-4.606975353,PFKFB3,Not Significant
214510_at,3.790528846,49.24517241,0.250839461,0.803765182,0.949096769,-4.606975544,GPR20,Not Significant
221083_at,-8.925,170.7858621,-0.250838376,0.803766013,0.949096769,-4.606975552,KCNQ4,Not Significant
205450_at,-8.141442308,110.3258621,-0.250833272,0.80376992,0.949096769,-4.606975585,PHKA1,Not Significant
203641_s_at,11.45735577,372.062069,0.250705477,0.803867747,0.949115239,-4.606976411,COBLL1,Not Significant
219535_at,10.81230769,274.2731034,0.250612079,0.803939246,0.949115239,-4.606977015,HUNK,Not Significant
217752_s_at,44.15673077,1996.293103,0.250575055,0.803967589,0.949115239,-4.606977255,CNDP2,Not Significant
211821_x_at,-3.895480769,53.26,-0.250544433,0.803991032,0.949115239,-4.606977452,GYPA,Not Significant
216624_s_at,15.23254808,325.0972414,0.250534638,0.80399853,0.949115239,-4.606977516,KMT2A,Not Significant
203385_at,-22.11860577,786.7258621,-0.250274806,0.804197452,0.949260761,-4.606979194,DGKA,Not Significant
215702_s_at,-12.71091346,411.4786207,-0.25026233,0.804207003,0.949260761,-4.606979275,CFTR,Not Significant
209011_at,16.37451923,492.4634483,0.249844333,0.804527041,0.949583617,-4.606981971,TRIO,Not Significant
220657_at,-5.665625,80.50413793,-0.249793774,0.804565753,0.949583617,-4.606982297,KLHL11,Not Significant
212462_at,11.93875,292.1668966,0.249719206,0.80462285,0.949600709,-4.606982777,KAT6B,Not Significant
221887_s_at,-5.273125,76.45068966,-0.249582547,0.804727494,0.949673909,-4.606983658,WHRN,Not Significant
220852_at,-10.41427885,123.7103448,-0.249471051,0.804812872,0.949717336,-4.606984375,FOXN3-AS2,Not Significant
221271_at,-7.694855769,169.0137931,-0.249423173,0.804849535,0.949717336,-4.606984683,IL21,Not Significant
208526_at,10.56485577,198.4496552,0.249099947,0.805097062,0.949887485,-4.606986762,OR2F1,Not Significant
217250_s_at,5.085576923,89.67275862,0.249093059,0.805102337,0.949887485,-4.606986806,CHD5,Not Significant
218341_at,-25.63394231,664.9348276,-0.249067887,0.805121614,0.949887485,-4.606986968,PPCS,Not Significant
211319_at,-2.794375,36.69827586,-0.248969219,0.80519718,0.949912977,-4.606987602,RAE1,Not Significant
211118_x_at,-3.960769231,50.69551724,-0.248915864,0.805238042,0.949912977,-4.606987944,ESR2,Not Significant
215482_s_at,16.98557692,738.0482759,0.248872688,0.80527111,0.949912977,-4.606988222,EIF2B4,Not Significant
219701_at,-3.088509615,34.76137931,-0.248769367,0.805350242,0.949956034,-4.606988885,TMOD2,Not Significant
214121_x_at,-1.731057692,20.13724138,-0.248544492,0.805522478,0.950058613,-4.606990328,PDLIM7,Not Significant
202737_s_at,-14.22456731,841.4296552,-0.24835586,0.805666963,0.950078162,-4.606991537,LSM4,Not Significant
218704_at,-12.73615385,509.6993103,-0.248136861,0.805834717,0.950194516,-4.606992939,RNF43,Not Significant
208608_s_at,-7.68625,157.2893103,-0.248046798,0.805903708,0.950194516,-4.606993516,SNTB1,Not Significant
221576_at,1.299567308,17.59931034,0.247995948,0.805942662,0.950194516,-4.606993841,GDF15,Not Significant
218372_at,-11.11634615,321.4506897,-0.247983452,0.805952234,0.950194516,-4.606993921,MED9,Not Significant
207906_at,-1.307884615,16.6437931,-0.247948718,0.805978843,0.950194516,-4.606994143,IL3,Not Significant
213104_at,11.09923077,332.4544828,0.247836379,0.806064902,0.950205552,-4.606994862,TSR3,Not Significant
214255_at,6.871923077,105.7744828,0.247692316,0.806175268,0.950205552,-4.606995783,ATP10A,Not Significant
222162_s_at,-25.51692308,596.8686207,-0.247684651,0.80618114,0.950205552,-4.606995832,ADAMTS1,Not Significant
215603_x_at,-17.08288462,636.0203448,-0.247668847,0.806193248,0.950205552,-4.606995933,GGT1,Not Significant
219117_s_at,41.95576923,1522.777241,0.247625356,0.806226567,0.950205552,-4.60699621,FKBP11,Not Significant
203807_x_at,1.340192308,14.97172414,0.247543707,0.806289121,0.950205552,-4.606996732,CSH2,Not Significant
213336_at,1.437115385,34.61827586,0.247496511,0.80632528,0.950205552,-4.606997033,BAZ1B,Not Significant
217718_s_at,-107.3980769,8186.718966,-0.247444608,0.806365046,0.950205552,-4.606997365,YWHAB,Not Significant
201643_x_at,19.53692308,1010.152069,0.247435548,0.806371987,0.950205552,-4.606997423,KDM3B,Not Significant
213678_at,8.058605769,195.9068966,0.247066097,0.806655059,0.950488852,-4.606999779,TMEM151B,Not Significant
211447_s_at,4.697307692,53.60931034,0.246848088,0.80682211,0.950570329,-4.607001168,PDE4A,Not Significant
217529_at,-7.490384615,101.9127586,-0.246738095,0.806906396,0.950570329,-4.607001869,ORAI2,Not Significant
207826_s_at,32.42201923,886.8672414,0.246601075,0.807011396,0.950570329,-4.607002741,ID3,Not Significant
205938_at,7.361971154,125.757931,0.246567413,0.807037192,0.950570329,-4.607002955,PPM1E,Not Significant
213222_at,6.427548077,186.5893103,0.246548309,0.807051832,0.950570329,-4.607003076,PLCB1,Not Significant
218082_s_at,-15.47706731,666.8286207,-0.246507951,0.807082759,0.950570329,-4.607003333,UBP1,Not Significant
214392_at,-9.876634615,186.6862069,-0.246443383,0.807132242,0.950570329,-4.607003744,IRGC,Not Significant
216120_s_at,-5.741682692,63.61448276,-0.246387909,0.807174755,0.950570329,-4.607004096,ATP2B2,Not Significant
207566_at,-4.976153846,68.76068966,-0.246365711,0.807191766,0.950570329,-4.607004238,MR1,Not Significant
211107_s_at,9.035576923,339.412069,0.246278425,0.80725866,0.950570329,-4.607004792,AURKC,Not Significant
217952_x_at,-14.24480769,654.4731034,-0.246265079,0.807268889,0.950570329,-4.607004877,PHF3,Not Significant
